000028 00000 00000 1 Am Jˆdebrunnen                 AJOD 000 12 0011 001 000 000
000029 00000 00000 1 Am Kalkwerk                    AKAL 000 11 0002 001 000 000
000029 00000 00000 1 Am Kalkwerk                    AKAL 000 12 0002 001 000 000
000030 00000 00000 1 Am Kanal                       AKAN 000 11 0011 001 000 000
000030 00000 00000 1 Am Kanal                       AKAN 000 12 0011 001 000 000
000031 00000 00000 1 Am Klei                        AKLE 000 11 0011 001 000 000
000031 00000 00000 1 Am Klei                        AKLE 000 12 0011 001 000 000
000032 00000 00000 1 Am Klosterkamp                 AKLO 000 11 0011 001 000 000
000032 00000 00000 1 Am Klosterkamp                 AKLO 000 12 0011 001 000 000
000033 00000 00000 1 Am Lehmanger                   ALEH 000 01 0011 001 000 000
000033 00000 00000 1 Am Lehmanger                   ALEH 000 02 0011 001 000 000
000033 00000 00000 1 Am Lehmanger                   ALEH 000 11 0011 001 000 000
000033 00000 00000 1 Am Lehmanger                   ALEH 000 12 0011 001 000 000
000034 00000 00000 1 Am Magnitor                    AMAG 000 01 0011 001 000 000
000034 00000 00000 1 Am Magnitor                    AMAG 000 02 0011 001 000 000
000034 00000 00000 1 Am Magnitor                    AMAG 000 11 0011 001 000 000
000034 00000 00000 1 Am Magnitor                    AMAG 000 12 0011 001 000 000
000035 00000 00000 1 Am Markt                       AMAR 000 11 0011 001 000 000
000035 00000 00000 1 Am Markt                       AMAR 000 12 0011 001 000 000
000036 00000 00000 1 Am Meerbusch                   AMEE 000 11 0002 001 000 000
000036 00000 00000 1 Am Meerbusch                   AMEE 000 12 0002 001 000 000
000037 00000 00000 1 Am M¸hlengraben                AMUH 000 11 0011 001 000 000
000037 00000 00000 1 Am M¸hlengraben                AMUH 000 12 0011 001 000 000
000038 00000 00000 1 Am Nordbahnhof                 ANOR 000 11 0011 001 000 000
000038 00000 00000 1 Am Nordbahnhof                 ANOR 000 12 0011 001 000 000
000039 00000 00000 1 Am ÷lper Holze                 AMOH 000 11 0011 001 000 000
000039 00000 00000 1 Am ÷lper Holze                 AMOH 000 12 0011 001 000 000
000040 00000 00000 1 Am Platz                       APLA 000 11 0011 001 000 000
000040 00000 00000 1 Am Platz                       APLA 000 12 0011 001 000 000
000041 00000 00000 1 Am Pfingstanger                APFI 000 11 0011 001 000 000
000041 00000 00000 1 Am Pfingstanger                APFI 000 12 0011 001 000 000
000042 00000 00000 1 Am Queckenberg                 AQUE 000 01 0011 001 000 000
000042 00000 00000 1 Am Queckenberg                 AQUE 000 02 0011 001 000 000
000042 00000 00000 1 Am Queckenberg                 AQUE 000 11 0001 001 000 000
000043 00000 00000 1 Am Remenhof                    AREM 000 11 0011 001 000 000
000043 00000 00000 1 Am Remenhof                    AREM 000 12 0011 001 000 000
000044 00000 00000 1 Am Schwarzen Berge             ASBE 000 11 0011 001 000 000
000044 00000 00000 1 Am Schwarzen Berge             ASBE 000 12 0011 001 000 000
000045 00000 00000 1 Am Steinring                   ASTE 000 11 0011 001 000 000
000045 00000 00000 1 Am Steinring                   ASTE 000 12 0011 001 000 000
000046 00000 00000 1 Am Wassertor                   AWAS 000 11 0012 001 000 000
000047 00000 00000 1 Am Wasserwerk                  AWAW 000 11 0011 001 000 000
000047 00000 00000 1 Am Wasserwerk                  AWAW 000 12 0011 001 000 000
000049 00000 00000 1 Amalienplatz                   AMAL 000 11 0011 001 000 000
000049 00000 00000 1 Amalienplatz                   AMAL 000 12 0011 001 000 000
000049 00000 00000 1 Amalienplatz                   AMAL 000 13 0011 001 000 000
000049 00000 00000 1 Amalienplatz                   AMAL 000 14 0011 001 000 000
000050 00000 00000 1 Andreeplatz                    ANDR 000 11 0011 001 000 000
000050 00000 00000 1 Andreeplatz                    ANDR 000 12 0011 001 000 000
000051 00000 00000 1 An den G‰rtnerhˆfen            ADGA 000 11 0011 001 000 000
000051 00000 00000 1 An den G‰rtnerhˆfen            ADGA 000 12 0011 001 000 000
000052 00000 00000 1 An der Horst                   ADHO 000 11 0011 001 000 000
000052 00000 00000 1 An der Horst                   ADHO 000 12 0011 001 000 000
000053 00000 00000 1 An der Kippe                   ADKI 000 11 0011 001 000 000
000053 00000 00000 1 An der Kippe                   ADKI 000 12 0011 001 000 000
000054 00000 00000 1 An der Lahwiese                ADLA 000 11 0011 001 000 000
000054 00000 00000 1 An der Lahwiese                ADLA 000 12 0011 001 000 000
000055 00000 00000 1 An der Rothenburg              ADRO 000 01 0011 001 000 000
000055 00000 00000 1 An der Rothenburg              ADRO 000 02 0011 001 000 000
000055 00000 00000 1 An der Rothenburg              ADRO 000 11 0011 001 000 000
000055 00000 00000 1 An der Rothenburg              ADRO 000 12 0011 001 000 000
000056 00000 00000 1 Anklamstraﬂe                   ANKL 000 01 0001 001 000 000
000056 00000 00000 1 Anklamstraﬂe                   ANKL 000 02 0001 001 000 000
000057 00000 00000 1 Arndtstraﬂe                    ARND 000 11 0001 001 000 000
000057 00000 00000 1 Arndtstraﬂe                    ARND 000 12 0001 001 000 000
000058 00000 00000 1 Zur Wabe                       ZUWA 000 11 0001 001 000 000
000058 00000 00000 1 Zur Wabe                       ZUWA 000 12 0001 001 000 000
000059 00000 00000 1 Bahnhof Gliesmarode            BAGL 000 01 0011 001 000 000
000059 00000 00000 1 Bahnhof Gliesmarode            BAGL 000 02 0011 001 000 000
000059 00000 00000 1 Bahnhof Gliesmarode            BAGL 000 11 0011 001 000 000
000059 00000 00000 1 Bahnhof Gliesmarode            BAGL 000 12 0011 001 000 000
000060 00000 00000 1 Bastholzsiedlung               BAST 000 11 0011 001 000 000
000060 00000 00000 1 Bastholzsiedlung               BAST 000 12 0011 001 000 000
000061 00000 00000 1 Bebelhof                       BEBE 000 11 0011 001 000 000
000061 00000 00000 1 Bebelhof                       BEBE 000 12 0011 001 000 000
000061 00000 00000 1 Bebelhof                       BEBE 000 13 0011 001 000 000
000062 00000 00000 1 Bechtsb¸tteler Weg             BECH 000 11 0011 001 000 000
000062 00000 00000 1 Bechtsb¸tteler Weg             BECH 000 12 0011 001 000 000
000063 00000 00000 1 Beethovenstraﬂe                BEET 000 11 0001 001 000 000
000063 00000 00000 1 Beethovenstraﬂe                BEET 000 12 0001 001 000 000
000064 00000 00000 1 Bei dem Gerichte               BDGE 000 11 0011 001 000 000
000064 00000 00000 1 Bei dem Gerichte               BDGE 000 12 0011 001 000 000
000065 00000 00000 1 Berggarten                     BERG 000 11 0011 001 000 000
000065 00000 00000 1 Berggarten                     BERG 000 12 0001 001 000 000
000066 00000 00000 1 Bettmar,Ohestraﬂe              BEOH 000 11 0001 001 000 000
000066 00000 00000 1 Bettmar,Ohestraﬂe              BEOH 000 12 0001 001 000 000
000067 00000 00000 1 Bettmar,Rosenwinkel            BERO 000 11 0011 001 000 000
000067 00000 00000 1 Bettmar,Rosenwinkel            BERO 000 12 0011 001 000 000
000068 00000 00000 1 Biberweg                       BIBE 000 11 0011 001 000 000
000068 00000 00000 1 Biberweg                       BIBE 000 12 0011 001 000 000
000069 00000 00000 1 Billrothstraﬂe                 BILL 000 11 0001 001 000 000
000069 00000 00000 1 Billrothstraﬂe                 BILL 000 12 0001 001 000 000
000070 00000 00000 1 Bindestraﬂe                    BIND 000 01 0001 001 000 000
000070 00000 00000 1 Bindestraﬂe                    BIND 000 02 0001 001 000 000
000070 00000 00000 1 Bindestraﬂe                    BIND 000 11 0001 001 000 000
000070 00000 00000 1 Bindestraﬂe                    BIND 000 12 0001 001 000 000
000071 00000 00000 1 Blindenzentrum                 BLIN 000 11 0011 001 000 000
000071 00000 00000 1 Blindenzentrum                 BLIN 000 12 0011 001 000 000
000072 00000 00000 1 Bockshornweg                   BOCK 000 11 0002 001 000 000
000072 00000 00000 1 Bockshornweg                   BOCK 000 12 0002 001 000 000
000072 00000 00000 1 Bockshornweg                   BOCK 000 13 0002 001 000 000
000073 00000 00000 1 Bodenstedt,Godehardistr.       BOGO 000 11 0001 001 000 000
000073 00000 00000 1 Bodenstedt,Godehardistr.       BOGO 000 12 0001 001 000 000
000074 00000 00000 1 Bodenstedt,Zum Seilbahnberg    BOSE 000 11 0011 001 000 000
000074 00000 00000 1 Bodenstedt,Zum Seilbahnberg    BOSE 000 12 0011 001 000 000
000075 00000 00000 1 Bohlweg/Damm                   BODA 000 01 0012 001 000 000
000075 00000 00000 1 Bohlweg/Damm                   BODA 000 02 0012 001 000 000
000076 00000 00000 1 Botanischer Garten             BOTA 000 01 0011 001 000 000
000076 00000 00000 1 Botanischer Garten             BOTA 000 02 0011 001 000 000
000076 00000 00000 1 Botanischer Garten             BOTA 000 11 0011 001 000 000
000076 00000 00000 1 Botanischer Garten             BOTA 000 12 0011 001 000 000
000077 00000 00000 1 Breitenhop                     BREI 000 11 0011 001 000 000
000077 00000 00000 1 Breitenhop                     BREI 000 12 0011 001 000 000
000078 00000 00000 1 Brockenblick                   BROC 000 11 0011 001 000 000
000078 00000 00000 1 Brockenblick                   BROC 000 12 0011 001 000 000
000079 00000 00000 1 Kath.Friedhof                  KAFR 000 11 0011 001 000 000
000079 00000 00000 1 Kath.Friedhof                  KAFR 000 12 0011 001 000 000
000080 00000 00000 1 Broitzemer Straﬂe              BSTE 000 11 0001 001 000 000
000080 00000 00000 1 Broitzemer Straﬂe              BSTE 000 12 0001 001 000 000
000081 00000 00000 1 Bruchanger                     BRUC 000 11 0011 001 000 000
000081 00000 00000 1 Bruchanger                     BRUC 000 12 0011 001 000 000
000082 00000 00000 1 Bruchweg                       BRUH 000 11 0011 001 000 000
000082 00000 00000 1 Bruchweg                       BRUH 000 12 0011 001 000 000
000083 00000 00000 1 Buchhorstblick                 BUCH 000 11 0011 001 000 000
000083 00000 00000 1 Buchhorstblick                 BUCH 000 12 0011 001 000 000
000084 00000 00000 1 B¸ltenweg                      BULT 000 11 0011 001 000 000
000085 00000 00000 1 B¸rgerpark                     BURG 000 01 0001 001 000 000
000085 00000 00000 1 B¸rgerpark                     BURG 000 02 0001 001 000 000
000085 00000 00000 1 B¸rgerpark                     BURG 000 11 0011 001 000 000
000085 00000 00000 1 B¸rgerpark                     BURG 000 12 0011 001 000 000
000085 00000 00000 1 B¸rgerpark                     BURG 000 13 0001 001 000 000
000086 00000 00000 1 Burgundenplatz                 BURU 000 01 0011 001 000 000
000086 00000 00000 1 Burgundenplatz                 BURU 000 02 0011 001 000 000
000086 00000 00000 1 Burgundenplatz                 BURU 000 11 0001 001 000 000
000086 00000 00000 1 Burgundenplatz                 BURU 000 12 0001 001 000 000
000087 00000 00000 1 Butterberg                     BUTT 000 11 0011 001 000 000
000087 00000 00000 1 Butterberg                     BUTT 000 12 0011 001 000 000
000088 00000 00000 1 Campestraﬂe                    CAMP 000 01 0001 001 000 000
000088 00000 00000 1 Campestraﬂe                    CAMP 000 02 0001 001 000 000
000088 00000 00000 1 Campestraﬂe                    CAMP 000 11 0001 001 000 000
000088 00000 00000 1 Campestraﬂe                    CAMP 000 12 0001 001 000 000
000089 00000 00000 1 Carl-Giesecke-Straﬂe           CAGI 000 11 0001 001 000 000
000089 00000 00000 1 Carl-Giesecke-Straﬂe           CAGI 000 12 0001 001 000 000
000090 00000 00000 1 Klinikum Celler Straﬂe         KRCE 000 11 0001 001 000 000
000090 00000 00000 1 Klinikum Celler Straﬂe         KRCE 000 12 0001 001 000 000
000091 00000 00000 1 Christian-Pommer-Straﬂe        CHPO 000 11 0001 001 000 000
000091 00000 00000 1 Christian-Pommer-Straﬂe        CHPO 000 12 0001 001 000 000
000092 00000 00000 1 Clauskamp                      CLAU 000 11 0011 001 000 000
000092 00000 00000 1 Clauskamp                      CLAU 000 12 0011 001 000 000
000093 00000 00000 1 Cremlingen,Emil-Berg-Str.      CREB 000 11 0001 001 000 000
000093 00000 00000 1 Cremlingen,Emil-Berg-Str.      CREB 000 12 0001 001 000 000
000094 00000 00000 1 Cremlingen,Im Dorfe            CRID 000 11 0011 001 000 000
000094 00000 00000 1 Cremlingen,Im Dorfe            CRID 000 12 0011 001 000 000
000095 00000 00000 1 Cyriaksring                    CYRI 000 01 0011 001 000 000
000095 00000 00000 1 Cyriaksring                    CYRI 000 02 0011 001 000 000
000095 00000 00000 1 Cyriaksring                    CYRI 000 11 0011 001 000 000
000095 00000 00000 1 Cyriaksring                    CYRI 000 12 0011 001 000 000
000096 00000 00000 1 D.L.R.                         DLRR 000 11 0011 001 000 000
000096 00000 00000 1 D.L.R.                         DLRR 000 12 0011 001 000 000
000097 00000 00000 1 Daimlerstraﬂe                  DAIM 000 01 0001 001 000 000
000097 00000 00000 1 Daimlerstraﬂe                  DAIM 000 02 0001 001 000 000
000098 00000 00000 1 Dammstraﬂe                     DAMM 000 11 0001 001 000 000
000098 00000 00000 1 Dammstraﬂe                     DAMM 000 12 0001 001 000 000
000098 00000 00000 1 Dammstraﬂe                     DAMM 000 13 0001 001 000 000
000099 00000 00000 1 Dammwiese                      DAMW 000 11 0011 001 000 000
000099 00000 00000 1 Dammwiese                      DAMW 000 12 0011 001 000 000
000100 00000 00000 1 Danziger Straﬂe                DANZ 000 11 0001 001 000 000
000100 00000 00000 1 Danziger Straﬂe                DANZ 000 12 0001 001 000 000
000101 00000 00000 1 Dedekindstraﬂe                 DEDE 000 11 0001 001 000 000
000101 00000 00000 1 Dedekindstraﬂe                 DEDE 000 12 0001 001 000 000
000102 00000 00000 1 Denstorf                       DENS 000 11 0011 001 000 000
000102 00000 00000 1 Denstorf                       DENS 000 12 0011 001 000 000
000103 00000 00000 1 Destedt,An der Unterburg       DADU 000 11 0011 001 000 000
000103 00000 00000 1 Destedt,An der Unterburg       DADU 000 12 0011 001 000 000
000104 00000 00000 1 Destedt,Am Lindenplatz         DEAL 000 11 0001 001 000 000
000104 00000 00000 1 Destedt,Am Lindenplatz         DEAL 000 12 0001 001 000 000
000105 00000 00000 1 Destedt,Schulenroder Str.      DESC 000 11 0001 001 000 000
000105 00000 00000 1 Destedt,Schulenroder Str.      DESC 000 12 0001 001 000 000
000106 00000 00000 1 Destedt,Kalkofenweg            DEKA 000 11 0001 001 000 000
000106 00000 00000 1 Destedt,Kalkofenweg            DEKA 000 12 0001 001 000 000
000107 00000 00000 1 Dierckestraﬂe                  DIER 000 11 0001 001 000 000
000107 00000 00000 1 Dierckestraﬂe                  DIER 000 12 0001 001 000 000
000108 00000 00000 1 Dieselstraﬂe                   DIES 000 11 0001 001 000 000
000108 00000 00000 1 Dieselstraﬂe                   DIES 000 12 0001 001 000 000
